"Date","ZAL","ES1438A","ES1480A","ES1396A","ES1992A","ES0691A","ES0692A","ES1148A","ES1679A","ES1856A","ES2090A","ES1453A","ES1929A","ES1903A","ES1910A","ES2011A","ES2012A","ES1684A","ES1231A","ES1891A","ES0584A","ES1262A","ES1018A","ES1551A","ES1814A","ES1817A","ES1126A","ES0971A","ES1339A","ES1815A","ES1773A","ES1899A","ES1122A","ES1123A","ES2109A","ES1124A","ES1208A","ES1666A","ES1312A","ES1812A","ES1125A","ES1135A","ES1642A","ES1397A","ES1923A","ES1816A","ES1999A","ES1347A","ES1778A","ES1275A","ES1311A","ES1851A","ES1348A","ES1982A","ES1225A","ES2034A","ES1215A","ES2017A","ES1930A","ES1948A","ES1855A","ES1854A","ES0010R","ES0014R"
"2022-12-31 23:00:00",NA,NA,62,60,45,43,45,47,46,48,2,43,35,25,9,29,23,40,23,25,33,36,41,41,32,30,25,33,24,NA,17,14,8,9,23,18,27,27,24,3,13,15,NA,19,3,37,20,1,1,30,NA,4,NA,1,28,8,16,6,2,2,8,NA,NA,NA
"2023-01-01 00:00:00",19.5,NA,61,56,50,41,51,47,48,50,1,39,33,36,13,34,22,33,34,36,34,53,43,40,42,37,22,30,29,NA,19,17,6,14,22,19,40,32,27,3,19,21,NA,14,10,70,22,1,1,34,NA,5,NA,1,29,7,12,9,2,2,5,NA,5.83,3.25
"2023-01-01 01:00:00",18.5,NA,62,55,48,39,46,41,47,54,1,38,26,36,12,35,21,29,27,40,36,38,34,47,33,34,24,31,29,NA,17,22,5,11,24,17,31,27,26,2,14,21,NA,14,6,53,22,1,1,34,NA,4,NA,1,22,8,10,5,1,2,5,NA,6.36,3.38
"2023-01-01 02:00:00",18.2,NA,58,49,46,36,43,39,42,54,1,38,20,35,10,33,25,25,25,44,36,42,27,42,28,32,22,25,25,NA,14,21,5,8,21,16,36,25,18,2,10,20,NA,11,5,53,15,1,1,28,NA,2,NA,1,21,7,8,8,1,2,5,NA,5.48,3.45
"2023-01-01 03:00:00",22.6,NA,51,42,44,33,39,36,37,51,2,38,17,28,9,29,23,19,23,39,27,43,31,37,26,29,18,17,20,NA,13,10,4,6,19,14,29,22,11,2,10,15,NA,9,5,46,15,1,1,23,NA,2,NA,1,19,8,8,13,1,2,7,NA,4.36,3.73
"2023-01-01 04:00:00",16.6,NA,39,22,39,30,25,33,34,46,3,32,18,22,7,27,18,21,22,35,27,30,23,36,27,28,17,17,17,NA,15,8,5,7,16,8,15,15,14,2,13,14,NA,11,7,37,15,1,1,26,NA,2,NA,1,16,8,7,15,1,4,8,NA,4.74,3.44
"2023-01-01 05:00:00",15.7,NA,31,16,42,29,19,30,34,45,3,29,15,22,6,24,23,20,17,35,23,30,23,35,25,27,14,18,11,NA,9,7,5,7,14,10,15,14,11,2,12,13,NA,7,7,40,17,1,1,25,NA,2,NA,1,17,6,6,12,1,3,6,NA,5.25,3.53
"2023-01-01 06:00:00",19.1,NA,49,30,41,28,28,27,32,41,6,27,20,24,6,23,18,19,20,34,20,28,44,34,25,25,15,20,12,NA,7,8,6,8,17,10,16,12,15,2,14,15,NA,8,7,33,16,3,1,26,NA,2,NA,1,16,7,6,16,1,5,7,NA,6.9,3.88
"2023-01-01 07:00:00",18.4,NA,38,22,37,24,19,26,34,42,3,26,15,20,6,21,16,19,17,31,20,27,36,30,24,22,13,17,8,NA,7,10,5,8,17,12,21,15,16,2,13,13,NA,7,4,27,16,5,1,24,NA,3,NA,1,19,10,8,25,1,6,9,NA,4.93,3.57
"2023-01-01 08:00:00",20.1,NA,31,31,30,25,25,26,47,39,5,28,14,11,6,19,13,17,12,31,25,27,29,29,23,21,11,16,8,NA,6,11,4,6,13,12,23,14,12,5,11,12,NA,10,7,30,15,4,1,23,NA,4,NA,1,17,9,7,17,1,6,9,NA,5.94,3.86
"2023-01-01 09:00:00",19.9,NA,25,15,8,24,24,24,55,12,5,29,14,21,14,17,14,19,18,34,27,25,40,34,32,22,13,11,10,NA,9,7,5,6,13,12,28,14,11,9,9,15,NA,52,8,19,24,2,1,22,NA,3,NA,1,23,12,11,8,1,6,10,NA,8.43,3.54
"2023-01-01 10:00:00",21,NA,13,11,6,26,13,28,34,6,5,29,16,24,16,21,13,19,18,36,33,21,28,32,33,24,14,10,11,NA,11,13,5,4,11,8,19,9,9,8,14,16,NA,31,18,8,23,1,1,16,NA,3,NA,1,35,12,11,7,1,9,13,NA,7.73,3.89
"2023-01-01 11:00:00",21.6,NA,13,11,6,26,10,28,17,6,6,33,21,18,10,30,13,16,18,19,38,28,21,22,24,32,12,15,9,NA,9,8,5,2,9,8,14,9,7,7,17,21,NA,31,13,7,14,1,1,12,NA,10,NA,1,29,13,9,5,1,6,7,NA,6.61,2.88
"2023-01-01 12:00:00",23.3,NA,15,15,8,20,13,17,26,9,9,41,22,20,10,32,19,13,21,13,48,38,29,26,28,32,20,22,11,NA,7,22,5,4,10,9,8,7,8,9,18,14,NA,30,8,8,9,1,2,12,NA,4,NA,1,27,16,7,5,1,5,8,NA,6.51,2.4
"2023-01-01 13:00:00",24.1,NA,21,24,13,21,19,14,23,12,13,30,18,14,8,27,18,21,19,15,55,37,30,31,44,35,23,23,12,NA,7,16,6,5,10,9,9,7,9,12,22,9,NA,38,4,13,9,1,1,14,NA,7,NA,1,18,16,6,5,1,4,6,NA,5.41,1.82
"2023-01-01 14:00:00",26.1,NA,25,23,13,20,17,14,41,17,16,23,23,12,8,25,20,26,19,18,44,32,36,23,37,39,21,22,12,NA,8,7,6,5,10,9,11,7,9,14,36,8,NA,34,4,16,10,1,1,27,NA,8,NA,1,25,11,6,5,1,4,5,NA,5.93,1.37
"2023-01-01 15:00:00",27.4,NA,40,26,16,19,17,17,30,31,24,31,18,24,10,28,19,24,29,25,41,46,40,31,37,42,23,31,12,NA,9,5,8,7,13,12,13,9,21,12,44,9,NA,52,3,16,19,1,1,19,NA,16,NA,1,37,10,7,6,1,7,5,NA,4.71,1.49
"2023-01-01 16:00:00",26.2,NA,46,59,38,29,43,35,36,40,11,56,20,42,12,42,16,32,42,40,58,84,88,54,68,66,41,32,19,NA,10,10,10,12,21,19,29,15,36,10,54,16,NA,62,5,35,52,2,1,32,NA,28,NA,1,54,10,7,7,1,10,25,NA,4.01,2.22
"2023-01-01 17:00:00",18.9,NA,65,61,50,38,38,49,51,50,4,63,39,30,14,29,19,50,37,52,46,60,91,59,59,60,47,43,32,NA,27,23,12,15,30,23,32,22,28,8,54,47,NA,52,5,60,54,2,1,42,NA,16,NA,1,56,17,10,12,1,13,31,NA,4.41,2.17
"2023-01-01 18:00:00",19.2,NA,66,57,43,45,39,59,49,52,6,53,53,27,12,25,24,48,30,45,47,43,67,57,46,44,39,40,39,NA,26,23,10,9,42,17,23,25,25,7,38,42,NA,40,3,68,49,2,1,55,NA,11,NA,1,40,9,20,19,1,8,27,NA,3.55,1.72
"2023-01-01 19:00:00",15.6,NA,68,60,43,45,45,53,45,54,8,52,51,31,11,27,29,56,26,42,38,58,93,54,39,41,33,30,34,NA,23,30,8,10,27,15,25,26,26,6,32,31,NA,34,5,63,45,1,1,47,NA,13,NA,1,31,6,31,11,1,4,12,NA,3.52,1.57
"2023-01-01 20:00:00",16.3,NA,66,67,45,44,41,48,46,54,5,47,43,29,10,23,27,47,22,41,34,43,80,60,35,33,28,33,28,NA,16,32,11,6,23,17,34,31,21,6,37,29,NA,28,5,55,44,1,1,45,NA,10,NA,1,30,5,39,9,1,4,12,NA,3.11,1.64
"2023-01-01 21:00:00",16.9,NA,63,71,43,40,41,44,47,53,5,45,43,30,9,21,25,49,20,37,30,27,64,48,30,34,26,33,28,NA,14,27,8,6,23,14,25,24,13,6,28,26,NA,23,6,49,29,1,2,38,NA,7,NA,1,21,5,34,5,6,4,17,NA,3.32,1.66
"2023-01-01 22:00:00",15.4,NA,57,65,40,35,34,42,44,50,3,46,41,30,11,16,21,42,19,34,26,20,48,36,31,28,23,29,25,NA,13,24,9,6,21,12,29,22,13,10,23,22,NA,18,7,38,25,1,1,34,NA,6,NA,1,19,5,24,4,6,5,12,NA,2.39,1.51
"2023-01-01 23:00:00",16.5,NA,52,60,35,39,31,42,36,35,3,46,36,25,9,24,17,40,20,30,21,19,30,33,21,26,19,24,22,NA,12,21,9,7,25,12,34,20,14,13,23,18,NA,16,7,25,15,2,1,26,1,3,NA,1,19,5,20,5,5,5,9,NA,2.28,1.69
