concentration,lat,lon,date,id
29.63,41.39216,2.009802,2023-01-01 00:00:00,1
29.63,41.39216,2.009802,2023-01-01 01:00:00,2
29.63,41.39216,2.009802,2023-01-01 02:00:00,3
29.63,41.39216,2.009802,2023-01-01 03:00:00,4
29.63,41.39216,2.009802,2023-01-01 04:00:00,5
29.63,41.39216,2.009802,2023-01-01 05:00:00,6
29.63,41.39216,2.009802,2023-01-01 06:00:00,7
29.63,41.39216,2.009802,2023-01-01 07:00:00,8
29.63,41.39216,2.009802,2023-01-01 08:00:00,9
29.63,41.39216,2.009802,2023-01-01 09:00:00,10
29.63,41.39216,2.009802,2023-01-01 10:00:00,11
29.63,41.39216,2.009802,2023-01-01 11:00:00,12
29.63,41.39216,2.009802,2023-01-01 12:00:00,13
29.63,41.39216,2.009802,2023-01-01 13:00:00,14
29.63,41.39216,2.009802,2023-01-01 14:00:00,15
29.63,41.39216,2.009802,2023-01-01 15:00:00,16
29.63,41.39216,2.009802,2023-01-01 16:00:00,17
29.63,41.39216,2.009802,2023-01-01 17:00:00,18
29.63,41.39216,2.009802,2023-01-01 18:00:00,19
29.63,41.39216,2.009802,2023-01-01 19:00:00,20
29.63,41.39216,2.009802,2023-01-01 20:00:00,21
29.63,41.39216,2.009802,2023-01-01 21:00:00,22
29.63,41.39216,2.009802,2023-01-01 22:00:00,23
29.63,41.39216,2.009802,2023-01-01 23:00:00,24
29.63,41.39216,2.009802,2023-01-02 00:00:00,25
29.63,41.39216,2.009802,2023-01-02 01:00:00,26
29.63,41.39216,2.009802,2023-01-02 02:00:00,27
29.63,41.39216,2.009802,2023-01-02 03:00:00,28
29.63,41.39216,2.009802,2023-01-02 04:00:00,29
29.63,41.39216,2.009802,2023-01-02 05:00:00,30
29.63,41.39216,2.009802,2023-01-02 06:00:00,31
29.63,41.39216,2.009802,2023-01-02 07:00:00,32
29.63,41.39216,2.009802,2023-01-02 08:00:00,33
29.63,41.39216,2.009802,2023-01-02 09:00:00,34
29.63,41.39216,2.009802,2023-01-02 10:00:00,35
29.63,41.39216,2.009802,2023-01-02 11:00:00,36
29.63,41.39216,2.009802,2023-01-02 12:00:00,37
29.63,41.39216,2.009802,2023-01-02 13:00:00,38
29.63,41.39216,2.009802,2023-01-02 14:00:00,39
29.63,41.39216,2.009802,2023-01-02 15:00:00,40
29.63,41.39216,2.009802,2023-01-02 16:00:00,41
29.63,41.39216,2.009802,2023-01-02 17:00:00,42
29.63,41.39216,2.009802,2023-01-02 18:00:00,43
