iter	RMSE
0	14.86554972
1	14.75640474
2	14.63794869
3	14.51309023
4	14.41400275
5	14.27683862
6	14.19308517
7	14.06960123
8	13.98859924
9	13.90109906
10	13.81353104
11	13.72865096
12	13.70243598
13	13.64944808
14	13.55850162
15	13.4785197
16	13.39298827
17	13.32697581
18	13.27969261
19	13.22742146
20	13.14311318
21	13.08691806
22	13.03279667
23	12.94371556
24	12.91942037
25	12.84538207
26	12.7718278
27	12.70220058
28	12.65551368
29	12.6131253
30	12.55421713
31	12.51578242
32	12.47085817
33	12.43270904
34	12.3947015
35	12.32007273
36	12.25625029
37	12.20501199
38	12.17554661
39	12.12125968
40	12.03914072
41	12.00447053
42	11.90529327
43	11.88999679
44	11.80861512
45	11.77601095
46	11.7184832
47	11.66391104
48	11.61554404
49	11.53955679
50	11.48632671
51	11.44142024
52	11.407533
53	11.33223723
54	11.27143633
55	11.2149406
56	11.17103084
57	11.12564998
58	11.06135737
59	11.03476566
60	10.99448267
61	10.95874895
62	10.90266683
63	10.86286336
64	10.81019513
65	10.7341816
66	10.64723529
67	10.61418023
68	10.5835261
69	10.561354
70	10.52602065
71	10.48370023
72	10.4014106
73	10.35063763
74	10.28081202
75	10.20389668
76	10.13882801
77	10.10667057
78	10.07560307
79	9.989610859
80	9.958368953
81	9.926266813
82	9.903306938
83	9.862516378
84	9.833882122
85	9.756443183
86	9.671576962
87	9.638075781
88	9.569051445
89	9.515699141
90	9.459866745
91	9.425824859
92	9.372847311
93	9.334260725
94	9.296731038
95	9.231575467
96	9.151041585
97	9.083248346
98	9.041087998
99	8.986154542
