iter	Passed	Remaining
0	0	37
1	0	32
2	0	31
3	1	29
4	1	29
5	1	30
6	2	30
7	2	29
8	2	29
9	3	29
10	3	28
11	3	27
12	4	27
13	4	28
14	4	27
15	5	27
16	5	26
17	5	25
18	5	25
19	6	24
20	6	24
21	6	23
22	6	23
23	7	22
24	7	22
25	7	21
26	7	21
27	8	21
28	8	21
29	8	20
30	9	20
31	9	19
32	9	19
33	9	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	16	11
60	17	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	18	8
69	19	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	23	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
